n,partie_imaginaire,T_MAX,methode,n_workers,turing_complet,calcule_le
226,436.16100643264707,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
227,437.58169816766866,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
228,438.62173865627216,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
229,439.91844221437066,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
230,441.683199201189,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
231,442.90454630260945,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
232,444.31933627755916,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
233,446.8606226964295,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
234,447.4417041944933,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
235,449.1485456850233,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
236,450.1269457803132,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
237,451.4033084453888,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
238,453.9867378066779,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
239,454.9746837686168,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
240,456.32842668924604,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
241,457.903893064103,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
242,459.513415281106,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
243,460.0879444221758,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
244,462.06536727488253,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
245,464.05728691054827,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
246,465.6715392113711,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
247,466.5702869308262,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
248,467.43904621026167,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
249,469.53600455911203,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
250,470.77365547810166,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
251,472.7991746619089,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
252,473.8352323451397,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
253,475.60033936937583,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
254,476.7690152374845,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
255,478.07526376667096,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
256,478.9421815346348,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
257,481.83033937628653,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
258,482.8347827909824,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
259,483.8514272124825,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
260,485.539148129356,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
261,486.52871826165125,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
262,488.38056709001745,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
263,489.66176157795616,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
264,491.398821593663,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
265,493.3144415817857,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
266,493.9579978053695,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
267,495.35882882213093,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
268,496.4296962157591,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
269,498.58078242968656,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
270,500.3090849416906,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
271,501.6044469651455,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
272,502.27627032711825,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
273,504.49977331342774,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
274,505.41523174224443,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
275,506.46415270952355,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
276,508.80070033646786,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
277,510.26422794367284,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
278,511.5622897003746,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
279,512.6231445314074,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
280,513.6689855554737,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
281,515.4350571672994,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
282,517.5896685724674,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
283,518.2342231475501,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
284,520.1063104117233,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
285,521.5251934494921,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
286,522.4566961777302,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
287,523.9605308920159,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
288,525.0773856872796,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
289,527.9036416012724,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
290,528.4062138522927,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
291,529.8062263187069,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
292,530.866917883961,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
293,532.6881830282938,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
294,533.7796307537687,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
295,535.6643140758732,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
296,537.0697590831223,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
297,538.4285261762479,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
298,540.2131663762282,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
299,540.6313902472951,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
300,541.8474371212013,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
301,544.3238901010052,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
302,545.6368332489349,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
303,547.0109120581224,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
304,547.9316133644893,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
305,549.4975675626614,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
306,550.9700100394839,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
307,552.0495722005649,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
308,553.7649721191588,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
309,555.7920205616825,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
310,556.8994764068553,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
311,557.5646591720586,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
312,559.3162370286822,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
313,560.2408074972957,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
314,562.5592076160459,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
315,564.1608791107864,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
316,564.5060559381499,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
317,566.698787682808,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
318,567.7317579011769,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
319,568.9239551796293,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
320,570.0511147824636,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
321,572.4199841324528,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
322,573.6146105267582,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
323,575.093886014495,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
324,575.8072471409288,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
325,577.0390034720982,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
326,579.0988346720367,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
327,580.1369593623846,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
328,581.9465762659016,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
329,583.2360882191673,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
330,584.5617059034655,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
331,585.9845632049884,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
332,586.7427718912502,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
333,588.1396632662479,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
334,590.6603975167653,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
335,591.7258580650482,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
336,592.5713583002256,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
337,593.974714682231,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
338,595.7281536973888,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
