n,partie_imaginaire,sauvegarde_le
348,609.38957515472,2026-04-25T17:52:09.588267
349,610.8391629377394,2026-04-25T17:52:09.588267
350,611.7742096208873,2026-04-25T17:52:09.588267
351,613.5997786756371,2026-04-25T17:52:09.588267
352,614.6462378722326,2026-04-25T17:52:09.588267
353,615.538563369407,2026-04-25T17:52:09.588267
354,618.1128313664423,2026-04-25T17:52:09.588267
355,619.1844825979535,2026-04-25T17:52:09.588267
356,620.2728936722275,2026-04-25T17:52:09.588267
357,621.7092945279487,2026-04-25T17:52:09.588267
358,622.375002739779,2026-04-25T17:52:09.588267
359,624.269900018178,2026-04-25T17:52:09.588267
360,626.0192834276543,2026-04-25T17:52:09.588267
361,627.268396850783,2026-04-25T17:52:09.588267
362,628.3258623594604,2026-04-25T17:52:09.588267
363,630.4738874382921,2026-04-25T17:52:09.588267
364,630.8057809271976,2026-04-25T17:52:09.588267
365,632.225141167116,2026-04-25T17:52:09.588267
366,633.5468582522517,2026-04-25T17:52:09.588267
367,635.5238003106056,2026-04-25T17:52:09.588267
368,637.3971931598372,2026-04-25T17:52:09.588267
369,637.9255139808226,2026-04-25T17:52:09.588267
370,638.9279382668568,2026-04-25T17:52:09.588267
371,640.6947946688256,2026-04-25T17:52:09.588267
372,641.9454996657054,2026-04-25T17:52:09.588267
373,643.2788837813979,2026-04-25T17:52:09.588267
374,644.9905782297479,2026-04-25T17:52:09.588267
375,646.3481915955016,2026-04-25T17:52:09.588267
376,647.761753004289,2026-04-25T17:52:09.588267
377,648.7864008887825,2026-04-25T17:52:09.588267
378,650.1975193452565,2026-04-25T17:52:09.588267
379,650.6686838913961,2026-04-25T17:52:09.588267
380,653.6495716053947,2026-04-25T17:52:09.588267
381,654.3019205863194,2026-04-25T17:52:09.588267
382,655.7094630223556,2026-04-25T17:52:09.588267
383,656.9640845994606,2026-04-25T17:52:09.588267
384,658.1756144186054,2026-04-25T17:52:09.588267
385,659.663845972964,2026-04-25T17:52:09.588267
386,660.7167325952793,2026-04-25T17:52:09.588267
387,662.2965864311004,2026-04-25T17:52:09.588267
388,664.2446046522731,2026-04-25T17:52:09.588267
389,665.3427630955991,2026-04-25T17:52:09.588267
390,666.5151477041729,2026-04-25T17:52:09.588267
391,667.1484948945554,2026-04-25T17:52:09.588267
392,668.9758488202351,2026-04-25T17:52:09.588267
393,670.3235852058625,2026-04-25T17:52:09.588267
394,672.4581835841698,2026-04-25T17:52:09.588267
395,673.0435782861476,2026-04-25T17:52:09.588267
396,674.3558978101231,2026-04-25T17:52:09.588267
397,676.1396743636268,2026-04-25T17:52:09.588267
398,677.2301806687639,2026-04-25T17:52:09.588267
399,677.8004447462214,2026-04-25T17:52:09.588267
400,679.7421978825282,2026-04-25T17:52:09.588267
401,681.8949915331519,2026-04-25T17:52:09.588267
402,682.6027350197506,2026-04-25T17:52:09.588267
403,684.0135498138695,2026-04-25T17:52:09.588267
404,684.9726298620984,2026-04-25T17:52:09.588267
405,686.163223587728,2026-04-25T17:52:09.588267
406,687.9615431847037,2026-04-25T17:52:09.588267
407,689.3689413622724,2026-04-25T17:52:09.588267
408,690.4747350323505,2026-04-25T17:52:09.588267
409,692.4516844155208,2026-04-25T17:52:09.588267
410,693.1769700606019,2026-04-25T17:52:09.588267
411,694.5339086998732,2026-04-25T17:52:09.588267
412,695.7263359209267,2026-04-25T17:52:09.588267
413,696.6260699003456,2026-04-25T17:52:09.588267
414,699.1320954760134,2026-04-25T17:52:09.588267
415,700.2967391321434,2026-04-25T17:52:09.588267
416,701.3017429546461,2026-04-25T17:52:09.588267
417,702.2273431457605,2026-04-25T17:52:09.588267
418,704.0338392955252,2026-04-25T17:52:09.588267
419,705.1258139546193,2026-04-25T17:52:09.588267
420,706.1846547995178,2026-04-25T17:52:09.588267
421,708.26907088511,2026-04-25T17:52:09.588267
422,709.2295885702844,2026-04-25T17:52:09.588267
423,711.1302741796854,2026-04-25T17:52:09.588267
424,711.9002899143753,2026-04-25T17:52:09.588267
425,712.7493834701012,2026-04-25T17:52:09.588267
426,714.0827718206693,2026-04-25T17:52:09.588267
427,716.1123964540521,2026-04-25T17:52:09.588267
428,717.4825697031002,2026-04-25T17:52:09.588267
429,718.742786545486,2026-04-25T17:52:09.588267
430,719.6971009883657,2026-04-25T17:52:09.588267
431,721.3511622185364,2026-04-25T17:52:09.588267
432,722.2775049756743,2026-04-25T17:52:09.588267
433,723.8458210451284,2026-04-25T17:52:09.588267
434,724.5626138903791,2026-04-25T17:52:09.588267
435,727.0564032300495,2026-04-25T17:52:09.588267
436,728.405481588934,2026-04-25T17:52:09.588267
437,728.7587497956142,2026-04-25T17:52:09.588267
438,730.4164821227565,2026-04-25T17:52:09.588267
439,731.4173549185986,2026-04-25T17:52:09.588267
440,732.8180527144999,2026-04-25T17:52:09.588267
441,734.789643252378,2026-04-25T17:52:09.588267
442,735.7654592085784,2026-04-25T17:52:09.588267
443,737.0529289122653,2026-04-25T17:52:09.588267
444,738.5804211713738,2026-04-25T17:52:09.588267
445,739.909523674042,2026-04-25T17:52:09.588267
446,740.573807447295,2026-04-25T17:52:09.588267
447,741.7573355729418,2026-04-25T17:52:09.588267
448,743.8950131424737,2026-04-25T17:52:09.588267
449,745.3449895506119,2026-04-25T17:52:09.588267
450,746.4993058994323,2026-04-25T17:52:09.588267
451,747.6745636242695,2026-04-25T17:52:09.588267
452,748.2427544650847,2026-04-25T17:52:09.588267
453,750.6559503621243,2026-04-25T17:52:09.588267
454,750.9663810666509,2026-04-25T17:52:09.588267
455,752.8876215672025,2026-04-25T17:52:09.588267
456,754.3223704717127,2026-04-25T17:52:09.588267
457,755.8393089760377,2026-04-25T17:52:09.588267
458,756.7682484399509,2026-04-25T17:52:09.588267
459,758.1017292464127,2026-04-25T17:52:09.588267
460,758.9002382248924,2026-04-25T17:52:09.588267
461,760.282366983512,2026-04-25T17:52:09.588267
462,762.700033249691,2026-04-25T17:52:09.588267
