n,partie_imaginaire,T_MAX,methode,precision_dps,calcule_le
219,425.06988249446135,10000.0,Hardy-Z + Illinois,50,20260424_205325
220,427.2088250840746,10000.0,Hardy-Z + Illinois,50,20260424_205325
221,428.12791407661666,10000.0,Hardy-Z + Illinois,50,20260424_205325
222,430.3287454309386,10000.0,Hardy-Z + Illinois,50,20260424_205325
223,431.30130693070356,10000.0,Hardy-Z + Illinois,50,20260424_205325
224,432.1386417345886,10000.0,Hardy-Z + Illinois,50,20260424_205325
225,433.8892184809272,10000.0,Hardy-Z + Illinois,50,20260424_205325
226,436.16100643264696,10000.0,Hardy-Z + Illinois,50,20260424_205325
227,437.5816981676686,10000.0,Hardy-Z + Illinois,50,20260424_205325
228,438.6217386562722,10000.0,Hardy-Z + Illinois,50,20260424_205325
229,439.9184422143706,10000.0,Hardy-Z + Illinois,50,20260424_205325
230,441.68319920118904,10000.0,Hardy-Z + Illinois,50,20260424_205325
231,442.9045463026095,10000.0,Hardy-Z + Illinois,50,20260424_205325
232,444.31933627755916,10000.0,Hardy-Z + Illinois,50,20260424_205325
233,446.8606226964295,10000.0,Hardy-Z + Illinois,50,20260424_205325
234,447.4417041944933,10000.0,Hardy-Z + Illinois,50,20260424_205325
235,449.14854568502335,10000.0,Hardy-Z + Illinois,50,20260424_205325
236,450.1269457803136,10000.0,Hardy-Z + Illinois,50,20260424_205325
237,451.40330844538875,10000.0,Hardy-Z + Illinois,50,20260424_205325
238,453.9867378066779,10000.0,Hardy-Z + Illinois,50,20260424_205325
239,454.9746837686168,10000.0,Hardy-Z + Illinois,50,20260424_205325
240,456.3284266892461,10000.0,Hardy-Z + Illinois,50,20260424_205325
241,457.90389306410293,10000.0,Hardy-Z + Illinois,50,20260424_205325
242,459.513415281106,10000.0,Hardy-Z + Illinois,50,20260424_205325
243,460.0879444221759,10000.0,Hardy-Z + Illinois,50,20260424_205325
244,462.0653672748825,10000.0,Hardy-Z + Illinois,50,20260424_205325
245,464.0572869105483,10000.0,Hardy-Z + Illinois,50,20260424_205325
246,465.6715392113711,10000.0,Hardy-Z + Illinois,50,20260424_205325
247,466.5702869308262,10000.0,Hardy-Z + Illinois,50,20260424_205325
248,467.43904621026167,10000.0,Hardy-Z + Illinois,50,20260424_205325
249,469.53600455911203,10000.0,Hardy-Z + Illinois,50,20260424_205325
250,470.7736554781016,10000.0,Hardy-Z + Illinois,50,20260424_205325
251,472.7991746619088,10000.0,Hardy-Z + Illinois,50,20260424_205325
252,473.8352323451397,10000.0,Hardy-Z + Illinois,50,20260424_205325
253,475.6003393693758,10000.0,Hardy-Z + Illinois,50,20260424_205325
254,476.76901523748455,10000.0,Hardy-Z + Illinois,50,20260424_205325
255,478.07526376667096,10000.0,Hardy-Z + Illinois,50,20260424_205325
256,478.94218153463487,10000.0,Hardy-Z + Illinois,50,20260424_205325
257,481.8303393762866,10000.0,Hardy-Z + Illinois,50,20260424_205325
258,482.8347827909824,10000.0,Hardy-Z + Illinois,50,20260424_205325
259,483.8514272124825,10000.0,Hardy-Z + Illinois,50,20260424_205325
260,485.539148129356,10000.0,Hardy-Z + Illinois,50,20260424_205325
261,486.52871826165125,10000.0,Hardy-Z + Illinois,50,20260424_205325
262,488.38056709001745,10000.0,Hardy-Z + Illinois,50,20260424_205325
263,489.66176157795616,10000.0,Hardy-Z + Illinois,50,20260424_205325
264,491.398821593663,10000.0,Hardy-Z + Illinois,50,20260424_205325
265,493.3144415817853,10000.0,Hardy-Z + Illinois,50,20260424_205325
266,493.9579978053694,10000.0,Hardy-Z + Illinois,50,20260424_205325
267,495.35882882213133,10000.0,Hardy-Z + Illinois,50,20260424_205325
268,496.42969621575907,10000.0,Hardy-Z + Illinois,50,20260424_205325
269,498.58078242968656,10000.0,Hardy-Z + Illinois,50,20260424_205325
270,500.3090849416905,10000.0,Hardy-Z + Illinois,50,20260424_205325
271,501.6044469651454,10000.0,Hardy-Z + Illinois,50,20260424_205325
272,502.2762703271182,10000.0,Hardy-Z + Illinois,50,20260424_205325
273,504.4997733134277,10000.0,Hardy-Z + Illinois,50,20260424_205325
274,505.4152317422445,10000.0,Hardy-Z + Illinois,50,20260424_205325
275,506.4641527095235,10000.0,Hardy-Z + Illinois,50,20260424_205325
276,508.8007003364678,10000.0,Hardy-Z + Illinois,50,20260424_205325
277,510.2642279436728,10000.0,Hardy-Z + Illinois,50,20260424_205325
278,511.5622897003746,10000.0,Hardy-Z + Illinois,50,20260424_205325
279,512.6231445314073,10000.0,Hardy-Z + Illinois,50,20260424_205325
280,513.6689855554738,10000.0,Hardy-Z + Illinois,50,20260424_205325
281,515.4350571672994,10000.0,Hardy-Z + Illinois,50,20260424_205325
282,517.5896685724675,10000.0,Hardy-Z + Illinois,50,20260424_205325
283,518.2342231475501,10000.0,Hardy-Z + Illinois,50,20260424_205325
284,520.1063104117231,10000.0,Hardy-Z + Illinois,50,20260424_205325
285,521.525193449492,10000.0,Hardy-Z + Illinois,50,20260424_205325
286,522.4566961777302,10000.0,Hardy-Z + Illinois,50,20260424_205325
287,523.9605308920159,10000.0,Hardy-Z + Illinois,50,20260424_205325
288,525.0773856872796,10000.0,Hardy-Z + Illinois,50,20260424_205325
289,527.9036416012724,10000.0,Hardy-Z + Illinois,50,20260424_205325
290,528.4062138522926,10000.0,Hardy-Z + Illinois,50,20260424_205325
291,529.8062263187069,10000.0,Hardy-Z + Illinois,50,20260424_205325
292,530.866917883961,10000.0,Hardy-Z + Illinois,50,20260424_205325
293,532.6881830282938,10000.0,Hardy-Z + Illinois,50,20260424_205325
294,533.7796307537687,10000.0,Hardy-Z + Illinois,50,20260424_205325
295,535.6643140758732,10000.0,Hardy-Z + Illinois,50,20260424_205325
296,537.0697590831222,10000.0,Hardy-Z + Illinois,50,20260424_205325
297,538.428526176248,10000.0,Hardy-Z + Illinois,50,20260424_205325
298,540.2131663762281,10000.0,Hardy-Z + Illinois,50,20260424_205325
299,540.631390247295,10000.0,Hardy-Z + Illinois,50,20260424_205325
300,541.8474371212012,10000.0,Hardy-Z + Illinois,50,20260424_205325
301,544.3238901010053,10000.0,Hardy-Z + Illinois,50,20260424_205325
302,545.6368332489347,10000.0,Hardy-Z + Illinois,50,20260424_205325
303,547.0109120581222,10000.0,Hardy-Z + Illinois,50,20260424_205325
304,547.9316133644893,10000.0,Hardy-Z + Illinois,50,20260424_205325
305,549.4975675626613,10000.0,Hardy-Z + Illinois,50,20260424_205325
306,550.9700100394839,10000.0,Hardy-Z + Illinois,50,20260424_205325
307,552.0495722005649,10000.0,Hardy-Z + Illinois,50,20260424_205325
