n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
132,385.8613008459742,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
133,387.22289022238795,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
134,388.8461283542323,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
135,393.427743844434,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
136,397.91873620961417,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
137,399.9851198761949,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
138,401.8392286005332,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
139,402.86191776388614,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
140,407.58146038689625,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
141,408.9472455023511,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
142,410.51386919336665,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
143,411.9722678042788,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
144,413.26273607018504,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
145,418.3877057895348,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
146,419.8613648181523,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
147,420.64382762504175,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
148,422.0767100588268,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
149,423.7165796274818,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
150,425.06988249446135,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
151,430.3287454309386,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
152,431.30130693070356,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
153,432.13864173458853,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
154,433.88921848092724,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
155,436.16100643264696,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
156,437.58169816766855,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
157,438.6217386562722,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
158,439.91844221437066,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
159,441.6831992011892,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
160,442.90454630260945,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
161,444.3193362775591,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
162,449.14854568502335,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
163,456.3284266892461,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
