n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
171,351.87864902535927,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
172,353.4889004887188,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
173,356.0175749772649,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
174,357.1513022520396,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
175,357.95268510163226,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
176,359.74375495311443,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
177,361.28936169580464,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
178,363.33133057897385,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
179,364.736024114089,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
180,366.21271028833127,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
181,367.9935754817403,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
182,368.96843809573437,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
183,370.05091921210595,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
184,373.0619283721129,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
185,373.86487391090856,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
186,375.82591276673935,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
187,376.32409223066804,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
188,378.4366802499655,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
189,379.87297534653237,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
190,381.4844686171865,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
191,383.4435294495365,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
192,384.95611681486366,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
193,385.86130084597426,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
194,387.22289022238795,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
195,388.8461283542323,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
196,391.456083563638,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
197,392.2450833395189,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
198,393.427743844434,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
199,395.5828700109937,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
200,396.38185422259187,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
201,397.9187362096142,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
202,399.9851198761949,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
203,401.8392286005332,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
204,402.86191776388614,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
205,404.236441800208,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
206,405.13438745990993,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
207,407.5814603868962,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
208,408.9472455023511,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
209,410.51386919336665,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
210,411.9722678042788,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
211,413.26273607018504,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
212,415.01880975515513,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
213,415.45521499629456,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
214,418.3877057895348,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
215,419.8613648181526,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
216,420.64382762504175,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
217,422.07671005882656,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
218,423.7165796274818,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
219,425.06988249446135,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
220,427.2088250840746,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
221,428.12791407661666,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
222,430.3287454309387,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
223,431.3013069307036,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
224,432.1386417345884,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
225,433.88921848092724,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
226,436.161006432647,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
227,437.5816981676686,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
228,438.621738656272,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
229,439.91844221437066,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
230,441.68319920118904,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
231,442.90454630260945,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
232,444.31933627755916,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
233,446.8606226964295,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
234,447.4417041944932,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
