n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
205,404.236441800208,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
206,405.13438745990993,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
207,407.5814603868962,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
208,408.9472455023511,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
209,410.51386919336665,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
210,411.9722678042788,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
211,413.26273607018504,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
212,415.01880975515513,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
213,415.4552149962946,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
214,418.3877057895348,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
215,419.8613648181523,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
216,420.6438276250418,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
217,422.07671005882673,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
218,423.7165796274818,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
219,425.06988249446135,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
220,427.2088250840746,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
221,428.12791407661666,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
222,430.3287454309386,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
223,431.3013069307036,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
224,432.1386417345886,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
225,433.88921848092724,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
226,436.16100643264696,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
227,437.5816981676686,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
228,438.6217386562722,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
229,439.91844221437066,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
230,441.68319920118904,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
231,442.90454630260945,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
232,444.31933627755916,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
233,446.8606226964295,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
234,447.4417041944933,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
235,449.1485456850233,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
236,450.1269457803135,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
237,451.4033084453888,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
238,453.9867378066779,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
239,454.9746837686168,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
240,456.32842668924604,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
241,457.903893064103,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
242,459.513415281106,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
243,460.08794442217584,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
244,462.06536727488253,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
245,464.05728691054827,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
246,465.6715392113711,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
247,466.5702869308262,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
248,467.43904621026167,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
249,469.53600455911203,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
250,470.77365547810166,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
251,472.7991746619088,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
252,473.8352323451397,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
253,475.6003393693758,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
254,476.7690152374845,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
255,478.07526376667096,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
256,478.9421815346348,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
257,481.8303393762866,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
258,482.8347827909824,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
259,483.8514272124825,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
260,485.539148129356,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
261,486.52871826165125,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
262,488.38056709001745,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
263,489.66176157795616,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
264,491.398821593663,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
